Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2022-12-31,fromthegrounduphomecare,CA,Toad - Nintendo Character,0.61,0%,20%,0.00,0.61,0.12,0.49,0.89,CAD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2022-12-24,Alextovar,MX,Jack Skellington - Jack-O-Led,0.61,0%,20%,0.00,0.61,0.12,0.49,12.73,MXN,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-12-09,bythesideofwriting,US,Pepe Chasing Penelope - Desk Figurine,0.62,0%,20%,0.00,0.62,0.12,0.50,0.65,USD,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-12-06,LookItsKulak,US,Powerline [A Goofy Movie],0.66,0%,20%,0.00,0.66,0.13,0.53,0.70,USD,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-12-04,xxrobxx,US,Powerline [A Goofy Movie],0.66,0%,20%,0.00,0.66,0.13,0.53,0.69,USD,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-12-03,rotulosport,AR,Capsule Corp - Small Ship (Dragon Ball Z),0.95,0%,20%,0.00,0.95,0.19,0.76,165.01,ARS,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-12-03,Nexus0927,US,Powerline [A Goofy Movie],0.66,0%,20%,0.00,0.66,0.13,0.53,0.70,USD,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
