Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2023-03-27,Warscream,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.64,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-03-22,guillermocandanoza,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.64,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-03-18,JPD1109,US,Pepe Chasing Penelope - Desk Figurine,0.60,0%,20%,0.00,0.60,0.12,0.48,0.60,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-03-14,harperfilms,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.68,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-03-09,Tom2krome,US,Penny Proud - Disney's Proud Family,0.61,0%,20%,0.00,0.61,0.12,0.49,0.61,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-03-08,Univrsl,US,Capsule Corp - Small Ship (Dragon Ball Z),0.94,0%,20%,0.00,0.94,0.19,0.75,0.94,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
