Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-02-26,gaethouch,FR,Capsule Corp - Small Ship (Dragon Ball Z),0.92,20%,20%,0.04,0.96,0.18,0.74,0.96,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-02-21,CaseyJones00,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-02-20,oryanrobinson,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-02-20,eddkent,MX,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-02-14,jenniba,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.64,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-02-10,dandrejefferies,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.69,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-02-08,Dribble3D,IE,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,23%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-02-08,xevisf,ES,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,21%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-02-01,bryarp,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
