Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2020-09-09,fullphantom,CO,Toad - Nintendo Character,0.49,0%,100%,0.00,0.49,0.10,0.39,0.49,EUR,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
2020-09-07,luchocalello186,AR,Capsule Corp - Small Ship (Dragon Ball Z),0.90,0%,100%,0.00,0.90,0.18,0.72,79.31,ARS,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
2020-09-06,amullins1,US,Pepe Chasing Penelope - Desk Figurine,0.49,0%,100%,0.00,0.49,0.10,0.39,0.58,USD,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
2020-09-04,hernanbastiani,AR,Capsule Corp - Small Ship (Dragon Ball Z),0.90,0%,100%,0.00,0.90,0.18,0.72,79.29,ARS,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
