Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2021-12-27,Jaeger69,US,Charmander Figurine,0.54,0%,20%,0.00,0.54,0.11,0.43,0.61,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2021-12-26,gabe-james,US,Gargoyle Figurine,0.90,0%,20%,0.00,0.90,0.18,0.72,1.02,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2021-12-26,TheCirno,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.67,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2021-12-25,elisthornton,GB,Charmander Figurine,0.54,0%,20%,0.00,0.54,0.11,0.43,0.46,GBP,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2021-12-20,sgermain2,FR,Capsule Corp - Small Ship (Dragon Ball Z),0.90,20%,20%,0.04,0.94,0.18,0.72,0.94,EUR,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2021-12-05,pokelover222222,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.67,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2021-12-02,Anx,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.67,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2021-12-02,tru3,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.67,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
