Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2021-10-27,mithxyz,AU,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.91,AUD,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-10-17,ozlang,AU,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.92,AUD,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-10-10,ChristianMB1020,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.68,USD,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-10-03,cristofergarciamoya,ES,Capsule Corp - Small Ship (Dragon Ball Z),0.90,20%,20%,0.04,0.94,0.18,0.72,0.94,EUR,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
