Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-04-29,Slagthor,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-04-27,santihernandezgar,US,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,0%,20%,0.00,0.50,0.10,0.40,0.53,USD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-04-24,CloudDart,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-04-22,justinstronk,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.53,USD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-04-20,shonstokes,US,Penny Proud - Disney's Proud Family,0.61,0%,20%,0.00,0.61,0.12,0.49,0.65,USD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-04-19,rogerworley,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-04-17,joelandres,EC,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-04-10,chaosscontrol,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-04-10,carloskenedy05,CL,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-04-02,Dingmeister,GB,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.43,GBP,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
