Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2023-01-26,IonJester,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.68,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-01-21,Crimsonrain,US,Capsule Corp - Small Ship (Dragon Ball Z),0.91,0%,20%,0.00,0.91,0.18,0.73,0.99,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-01-13,Darc3D,CL,Gerald - Hey Arnold,0.61,0%,20%,0.00,0.61,0.12,0.49,0.61,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-01-10,DearWatson,US,Powerline [A Goofy Movie],0.66,0%,20%,0.00,0.66,0.13,0.53,0.70,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-01-05,M1ghtySl0th,GB,SD Card Holder - Mini Organizer Cabinet,0.62,0%,20%,0.00,0.62,0.12,0.50,0.55,GBP,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-01-04,maxfischer,DE,SD Card Holder - Mini Organizer Cabinet,0.62,19%,20%,0.02,0.64,0.12,0.50,0.64,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-01-02,ItsShortround,US,Powerline [A Goofy Movie],0.65,0%,20%,0.00,0.65,0.13,0.52,0.69,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
