Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2022-01-28,jiji10,SA,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.59,EUR,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-01-21,Supertorio,NL,Powerline [A Goofy Movie],0.59,21%,20%,0.02,0.61,0.12,0.47,0.61,EUR,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-01-18,Kronos2021,CL,Capsule Corp - Small Ship (Dragon Ball Z),0.90,0%,20%,0.00,0.90,0.18,0.72,0.90,EUR,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-01-16,Seba93,IT,Powerline [A Goofy Movie],0.59,23%,20%,0.03,0.62,0.12,0.47,0.62,EUR,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-01-10,sierraj2,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.67,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-01-03,Thecossas,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.67,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-01-02,claucampag,BR,Gerald - Hey Arnold,0.54,0%,20%,0.00,0.54,0.11,0.43,3.42,BRL,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-01-02,rajairahaman,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.67,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
