Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-06-29,Maxime5,FR,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,20%,20%,0.02,0.52,0.10,0.40,0.52,EUR,✅ Available,,,
2024-06-27,plamenradnev,BG,SD Card Holder - DLSR Camera Lens,0.50,20%,20%,0.02,0.52,0.10,0.40,1.02,BGN,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-26,36597069a,MX,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,9.80,MXN,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-17,blackmanta44,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-17,Furstknight,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-13,okiegunrunner,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.69,USD,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-10,Agemaner,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-06,shadowdio,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-05,achouraliyahia,CA,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,0%,20%,0.00,0.50,0.10,0.40,0.74,CAD,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-05,willdeaver,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-03,Aries121212321,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.69,USD,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
2024-06-01,bolognapro,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-07-29T15:05:13Z"" title=""July 29, 2024 15:05 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 29, 2024</time>",,,
