Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2023-04-30,91dope,US,Penny Proud - Disney's Proud Family,0.58,0%,20%,0.00,0.58,0.12,0.46,0.65,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-04-30,amandajwilliams,US,Powerline [A Goofy Movie],0.62,0%,20%,0.00,0.62,0.12,0.50,0.62,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-04-15,tonysteesgr,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.69,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-04-13,EnosWolfe,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.69,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
