Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2021-09-26,3dprinteditllc,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.69,USD,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-09-23,disarrayedworkshop,US,Capsule Corp - Small Ship (Dragon Ball Z),0.90,0%,20%,0.00,0.90,0.18,0.72,1.06,USD,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-09-21,innovagames3dzarate,AR,Gerald - Hey Arnold,0.54,0%,20%,0.00,0.54,0.11,0.43,62.31,ARS,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-09-13,sadpanda284,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.70,USD,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
