Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2021-01-31,coramirezna,CL,Gerald - Hey Arnold,0.50,0%,100%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
2021-01-29,Dunno23,BR,Pepe Chasing Penelope - Desk Figurine,0.49,0%,100%,0.00,0.49,0.10,0.39,3.23,BRL,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
2021-01-24,alsopryan,US,Charmander Figurine,0.50,0%,100%,0.00,0.50,0.10,0.40,0.61,USD,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
2021-01-16,HUNT_PRINT,MX,Pepe Chasing Penelope - Desk Figurine,0.49,0%,100%,0.00,0.49,0.10,0.39,11.72,MXN,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
