Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-07-31,bluemantamediallc,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.64,EUR,✅ Available,,,
2024-07-31,AccioMoscowMule,CA,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.64,EUR,✅ Available,,,
2024-07-28,Whatever558,GB,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,✅ Available,,,
2024-07-23,Rico3DMaker,BR,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,3.07,BRL,✅ Available,,,
2024-07-22,Dwarfw,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.55,USD,✅ Available,,,
2024-07-22,christian-wolff,DK,Powerline [A Goofy Movie],0.64,25%,20%,0.03,0.67,0.13,0.51,5.01,DKK,✅ Available,,,
2024-07-18,ramon2016mendozaa,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,✅ Available,,,
2024-07-18,Addr32,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.55,USD,✅ Available,,,
2024-07-14,kylanmon,CA,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.75,CAD,✅ Available,,,
2024-07-07,mike_ultra,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,✅ Available,,,
