Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2021-08-25,macarenaescobars,CL,Gerald - Hey Arnold,0.54,0%,20%,0.00,0.54,0.11,0.43,0.54,EUR,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-08-22,keiran1993,GB,Powerline [A Goofy Movie],0.59,20%,20%,0.02,0.61,0.12,0.47,0.52,GBP,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-08-13,andyb1986,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.69,USD,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-08-12,jly4bby,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.69,USD,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
2021-08-02,nadal_paola,AR,Capsule Corp - Small Ship (Dragon Ball Z),0.90,0%,20%,0.00,0.90,0.18,0.72,103.29,ARS,"💰 Transferred <time datetime=""2021-12-13T17:03:34Z"" title=""December 13, 2021 17:03 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 13, 2021</time>",,,
