Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-08-26,cornchips1234,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,⏳ Pending,,,
2024-08-23,rossadammichael,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.56,USD,⏳ Pending,,,
2024-08-21,MalenJoy,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.56,USD,⏳ Pending,,,
2024-08-21,mccoyericc,US,Powerline [A Goofy Movie],0.62,0%,20%,0.00,0.62,0.12,0.50,0.69,USD,⏳ Pending,,,
2024-08-19,eduamosca,IT,X-men Cyclops Visor #COSPLAYXCULTS,0.50,22%,20%,0.02,0.52,0.10,0.40,0.52,EUR,✅ Available,,,
2024-08-18,valhallelujah,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.70,USD,✅ Available,,,
2024-08-17,friemanzj,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.55,USD,✅ Available,,,
2024-08-17,tacos2,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.55,USD,✅ Available,,,
2024-08-16,christina_,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.63,EUR,✅ Available,,,
2024-08-12,bishwa_baker97,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.69,USD,✅ Available,,,
2024-08-10,mserrecchia,US,Jack Skellington - Jack-O-Led,0.60,0%,20%,0.00,0.60,0.12,0.48,0.60,EUR,✅ Available,,,
2024-08-07,shmimbs,US,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,0%,20%,0.00,0.50,0.10,0.40,0.55,USD,✅ Available,,,
2024-08-05,alan1916,HK,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,✅ Available,,,
2024-08-04,ll_itachi_lll,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.63,EUR,✅ Available,,,
