Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2023-02-20,fred123456Y,BE,Asuma Chakra Kunai - (Naruto) Keychain,0.61,21%,20%,0.03,0.64,0.12,0.49,0.64,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-02-08,liliananovos,ES,Powerline [A Goofy Movie],0.64,21%,20%,0.03,0.67,0.13,0.51,0.67,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-02-06,mattswilliams18,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.64,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
