Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2023-11-23,magoriangregovioitchc,FR,X-men Cyclops Visor #COSPLAYXCULTS,0.50,20%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2023-11-22,egs2020-,DE,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,19%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2023-11-19,miguel64d,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.69,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2023-11-12,palopelo,CL,Gerald - Hey Arnold,0.61,0%,20%,0.00,0.61,0.12,0.49,0.61,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-11-11,jwlewisdragondad,US,Powerline [A Goofy Movie],0.65,0%,20%,0.00,0.65,0.13,0.52,0.69,USD,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-11-09,hardmanbrett,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-11-05,Frisos1,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-11-04,pagarberoglio,AR,Gerald - Hey Arnold,0.61,0%,20%,0.00,0.61,0.12,0.49,231.46,ARS,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-11-04,davidarroyop90,ES,Gargoyle Figurine,0.93,21%,20%,0.04,0.97,0.19,0.74,0.97,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
