Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2023-05-28,alanbajramovic,US,Capsule Corp - Small Ship (Dragon Ball Z),0.92,0%,20%,0.00,0.92,0.18,0.74,0.92,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-05-26,GBPLLC2023,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.69,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-05-25,jayphe,AU,SD Card Holder - Mini Organizer Cabinet,0.60,0%,20%,0.00,0.60,0.12,0.48,0.99,AUD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-05-20,Cults3dprints,US,Jack Skellington - Jack-O-Led,0.60,0%,20%,0.00,0.60,0.12,0.48,0.65,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-05-18,AckAttack826,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.64,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-05-14,Cobaltross,US,Gargoyle Figurine,0.91,0%,20%,0.00,0.91,0.18,0.73,1.00,USD,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
