Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2023-06-21,Daggecrcc,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.55,USD,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-06-16,pitternester,BR,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-06-15,jordangarza148,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-06-11,IronSpartan,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-06-07,gharbi34800,FR,Sonic The Hedgehog,0.93,20%,20%,0.04,0.97,0.19,0.74,0.97,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
2023-06-01,RODRI21,IE,Capsule Corp - Small Ship (Dragon Ball Z),0.93,22%,20%,0.04,0.97,0.19,0.74,0.97,EUR,"💰 Transferred <time datetime=""2023-07-10T12:26:00Z"" title=""July 10, 2023 12:26 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 10, 2023</time>",,,
