Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-01-31,dolphin_girl456,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.69,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-28,joseg2,CL,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-27,KocaKoda,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.64,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-23,CyborgPhantom,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-23,entrtaner,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.63,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-23,palazzesic,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-20,johnjtarias,AS,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-20,thereallisaadams,US,SD Card Holder - DLSR Camera Lens,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-16,saraasa,SA,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-15,broof,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.69,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-11,baosinoff,US,Gerald - Hey Arnold,0.59,0%,20%,0.00,0.59,0.12,0.47,0.59,EUR,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
2024-01-08,oogieboogiemasters,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.55,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
