Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-09-19,ppridgen,US,Super Mario World Piranha Plant - Headphone Holder #GAMINGXCULTS,1.00,0%,20%,0.00,1.00,0.20,0.80,1.00,EUR,⏳ Pending,,,
2024-09-18,bdesigns,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.56,USD,⏳ Pending,,,
2024-09-15,onixknight,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.56,USD,⏳ Pending,,,
2024-09-12,lyndseyhedger,US,Gerald - Hey Arnold,0.59,0%,20%,0.00,0.59,0.12,0.47,0.59,EUR,⏳ Pending,,,
