Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2023-07-30,DTJ,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.69,USD,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-07-26,micron2,CZ,X-men Cyclops Visor #COSPLAYXCULTS,0.50,21%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-07-25,dicewench,US,Powerline [A Goofy Movie],0.62,0%,20%,0.00,0.62,0.12,0.50,0.62,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-07-22,brolyarod,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-07-22,alveaga,MX,Pepe Chasing Penelope - Desk Figurine,0.58,0%,20%,0.00,0.58,0.12,0.46,11.08,MXN,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-07-10,tavaman,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
2023-07-04,outtathebluemike,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2023-12-14T14:15:16Z"" title=""December 14, 2023 14:15 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Dec 14, 2023</time>",,,
