Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2020-12-31,luiscarocofre,CL,Gerald - Hey Arnold,0.50,0%,100%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
2020-12-27,redtop91,US,Capsule Corp - Small Ship (Dragon Ball Z),0.90,0%,100%,0.00,0.90,0.18,0.72,1.10,USD,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
2020-12-03,fgrant04,CR,Sonic The Hedgehog,0.90,0%,100%,0.00,0.90,0.18,0.72,0.90,EUR,"💰 Transferred <time datetime=""2021-04-21T15:23:44Z"" title=""April 21, 2021 15:23 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 21, 2021</time>",,,
