Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2022-06-30,DaigleDesign,US,Gerald - Hey Arnold,0.54,0%,20%,0.00,0.54,0.11,0.43,0.57,USD,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-06-19,darkcidx,CL,Gerald - Hey Arnold,0.54,0%,20%,0.00,0.54,0.11,0.43,0.54,EUR,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-06-11,truesdail,US,Capsule Corp - Small Ship (Dragon Ball Z),0.90,0%,20%,0.00,0.90,0.18,0.72,0.96,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-06-09,Saphirejewelz,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.63,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
