Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2022-09-28,3dPrintsThisWeek,US,Powerline [A Goofy Movie],0.69,0%,20%,0.00,0.69,0.14,0.55,0.66,USD,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-09-20,jordi_renault,ES,Capsule Corp - Small Ship (Dragon Ball Z),0.99,21%,20%,0.04,1.03,0.20,0.79,1.03,EUR,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-09-13,LittleAngel,MX,Powerline [A Goofy Movie],0.69,0%,20%,0.00,0.69,0.14,0.55,13.78,MXN,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
2022-09-04,KandiiCoated,US,Gerald - Hey Arnold,0.65,0%,20%,0.00,0.65,0.13,0.52,0.65,USD,"💰 Transferred <time datetime=""2023-01-25T13:50:37Z"" title=""January 25, 2023 13:50 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jan 25, 2023</time>",,,
