Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2022-02-18,michaelhowell88,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.67,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-02-08,frankogames,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.68,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
2022-02-02,brettg,US,Powerline [A Goofy Movie],0.59,0%,20%,0.00,0.59,0.12,0.47,0.66,USD,"💰 Transferred <time datetime=""2022-07-12T15:20:10Z"" title=""July 12, 2022 15:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jul 12, 2022</time>",,,
