Date,User,Buyer country,Design,Total before tax (EUR),VAT (%),VAT base (% of Total before tax),VAT EUR,Total including VAT EUR,Cults Commission EUR,Income EUR,Total in currency,Currency,Status,Initial price in currency,Discount,Coupon
2024-03-31,erogg7z,ES,X-men Cyclops Visor #COSPLAYXCULTS,0.50,21%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-31,bestrongman,US,Love Death + Robots : Orange Robot #TWOTREESROBOT,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-30,titusrowell,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-30,drewcasey,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-28,mrfcc,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-27,crowminiornot,ES,X-men Cyclops Visor #COSPLAYXCULTS,0.50,21%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-27,kkiy,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.54,USD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-22,nolafan33,US,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.50,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-19,Chriz30,MX,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,9.24,MXN,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-19,inque,AU,X-men Cyclops Visor #COSPLAYXCULTS,0.50,0%,20%,0.00,0.50,0.10,0.40,0.83,AUD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-16,anton54c,US,Capsule Corp - Small Ship (Dragon Ball Z),0.90,0%,20%,0.00,0.90,0.18,0.72,0.98,USD,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-11,tuorgustavo,PT,X-men Cyclops Visor #COSPLAYXCULTS,0.50,23%,20%,0.02,0.52,0.10,0.40,0.52,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-10,NAK22,US,Powerline [A Goofy Movie],0.64,0%,20%,0.00,0.64,0.13,0.51,0.64,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-08,Lee1,US,Powerline [A Goofy Movie],0.63,0%,20%,0.00,0.63,0.13,0.50,0.63,EUR,"💰 Transferred <time datetime=""2024-06-10T13:20:49Z"" title=""June 10, 2024 13:20 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Jun 10, 2024</time>",,,
2024-03-04,black-caos,GT,Capsule Corp - Small Ship (Dragon Ball Z),0.91,0%,20%,0.00,0.91,0.18,0.73,0.99,USD,"💰 Transferred <time datetime=""2024-04-08T12:54:39Z"" title=""April 08, 2024 12:54 (UTC)"" data-controller=""time-format"" data-time-format-template-value=""date"" class=""cursor-help"">Apr 08, 2024</time>",,,
